"id","beta1_est","beta1_se","beta1_lowerCI","beta1_upperCI","pval","significant"
1,9.99948696227404,0.133905546785075,9.73375576270089,10.2652181618472,3.4412406363979e-88,TRUE
2,10.0256859727966,0.11704047203779,9.79342296517725,10.2579489804159,6.07486539249492e-94,TRUE
3,9.79247707258435,0.11023637013399,9.5737165837503,10.0112375614184,1.80150709629207e-95,TRUE
4,9.99315337234917,0.0991493486238253,9.79639471686947,10.1899120278289,8.68128613879779e-101,TRUE
5,9.92481952426578,0.0818856479709166,9.76232012087615,10.0873189276554,1.41503251506029e-108,TRUE
6,9.84701109570268,0.0914488110965056,9.66553390632817,10.0284882850772,1.41121166532725e-103,TRUE
7,9.9029658538163,0.110818076319156,9.6830509879897,10.1228807196429,1.01197383850068e-95,TRUE
8,9.82358875733736,0.0946947213579305,9.6356701646888,10.0115073499859,5.26947537106314e-102,TRUE
9,10.1108268344195,0.0920725525488809,9.92811185043267,10.2935418184062,2.09142795638993e-104,TRUE
10,10.2370745599955,0.110789021931706,10.0172173516552,10.4569317683358,3.96554815530537e-97,TRUE
11,10.1295749836124,0.102530787052131,9.92610597362231,10.3330439936025,6.0339840825894e-100,TRUE
12,10.1208701579973,0.0877086321865296,9.94681523194371,10.294925084051,1.6889133220254e-106,TRUE
13,10.1022810190551,0.0816935738114878,9.94016278058367,10.2643992575264,2.00457237685606e-109,TRUE
14,10.0421665819819,0.115649414723911,9.81266408232934,10.2716690816344,1.63006580833152e-94,TRUE
15,10.3353552625751,0.102535260134668,10.1318773758983,10.5388331492519,8.60500650613508e-101,TRUE
16,9.97110489022766,0.0937895843521726,9.78498251250889,10.1572272679464,4.87220205712725e-103,TRUE
17,10.0548524437077,0.10880107158167,9.83894025813824,10.2707646292772,3.90985549796203e-97,TRUE
18,9.95906061633672,0.0948815039093738,9.77077135979375,10.1473498728797,1.6870112081895e-102,TRUE
19,10.0241512714861,0.0886059997965401,9.84831554861571,10.1999869943565,1.15695846773509e-105,TRUE
20,10.3006534766536,0.111518492909587,10.0793486568987,10.5219582964085,4.11081902642161e-97,TRUE
21,10.06695807551,0.0925575778162479,9.88328057466549,10.2506355763544,5.31900885558056e-104,TRUE
22,9.94447074760472,0.0981523852749655,9.74969053344418,10.1392509617653,5.2287661699413e-101,TRUE
23,10.0606000319251,0.133594141697732,9.79548680561292,10.3257132582372,1.52888752392859e-88,TRUE
24,10.0003296624764,0.0813694107861722,9.83885471497872,10.1618046099741,3.65460506787787e-109,TRUE
25,9.87454483674802,0.0888316729119317,9.69826127292475,10.0508284005713,6.39503034496835e-105,TRUE
26,9.87720712360393,0.103688733005716,9.67144020755486,10.082974039653,2.0726859691541e-98,TRUE
27,10.015020247528,0.103635363697635,9.80935924113388,10.2206812539221,5.14361478005957e-99,TRUE
